symptom,class
모공이 많이 넓어요.,DERM
배와 가슴(명치) 주변에 붉은 얼룩 무늬,DERM
다크써클도 치료가 될까요?,DERM
여드름 흉터,DERM
혈관종 수술 나이,DERM
탈모때문에 걱정입니다..,DERM
건선과 알레르기,DERM
고2 학생 심한탈모요...,DERM
모공 뾰루지 때문에 짜증나요....ㅜㅜ,DERM
입술병이요ㅜ습진인지뭔지이게,DERM
입술이말썽이에요ㅠㅠ ,DERM
피부가 간지러워요.,DERM
대상포진에 관해서,DERM
피부처짐과 팔자주름,DERM
피부기묘증에 대해서...,DERM
돌출된 입과 팔자주름,DERM
발등과 발가락 사이에 물집이 생기고 낫질않습니다.,DERM
피부 알르레기,DERM
네모난 얼굴.. 혹시 필러로 보강 가능한지..,DERM
피부미백,DERM
제모에 대해서,DERM
작은 멍울이 다리에,DERM
종아리가 뱀살이에요~,DERM
발톱관련,DERM
입술을 거울로 자세히 들여다보면 하얀고름이 오돌도돌났어요.,DERM
코와 입술 주위 부스럼,DERM
머리속에 종기같은 것이 아풀정도로 계속나옴,DERM
추우면 피부가 울긋불긋 해져요,DERM
피부 곰팡이?,DERM
안녕하세요? 선생님. 팔뚝의 점에 궁금한 점이 있어서요,DERM
알러지성 피부염이라는데요,DERM
턱밑 성인여드름,DERM
뽀록지,DERM
크리스탈필링 후 피지와 모공의 변화에 대한 질문,DERM
귀 뒷부분에 생기는 깨알같은 것들...,DERM
심한 지성피부 입니다.. ,DERM
갑자기 볼이 따금거려요,DERM
제가 어루러기가있는데요.,DERM
최근에 여드름때문에 상담했던 사람입니다~! 추가 질문입니다.,DERM
피부가 너무 건조한데...민감하기까지 하거든요,DERM
고름 발생 원인 및 예방법,DERM
근 6년간 앓아온 여드름!! 여러가지 여드름치료시술 추천좀 부탁드릴게요!!,DERM
두피에 뾰루지~,DERM
주부습진<73세 어머니>,DERM
난창에 대해서...,DERM
건성습진이라는데...,DERM
백반증에 대한 문의,DERM
한쪽 피부에 통증이 있어요,DERM
제가 생리는 불규칙적인데요.,OBGY
피임약 중단 후 다음 생리예정일?  비임신인거 맞겠죠?,OBGY
관계후 임신 가능성이 있을까요?,OBGY
선생님 ! 너무 걱정돼서 전에 진단받은 병원에게 전화했더니,OBGY
관계 18일 후에 임신 피검사로 비임신을 받았습니다,OBGY
방광염? 변비나 아니면 가스차는 현상으로도 소변이 자주마렵나요?,OBGY
관계한지 한달째 되는 날 임신테스트기 사용..,OBGY
냉의 이유가 궁금합니다.,OBGY
페리틴 수치가 너무 높습니다,OBGY
임신인지 궁금하네요,OBGY
지르텍이랑 이부프로펜이라는 두통약을 가끔 복용했는데이게 피임효과에 문제를 일으켰을까요...,OBGY
유방혹이 아주 많은경우 어떻게해야하나요?,OBGY
경구피임약 항생제 질문드려요,OBGY
처음 피임약 복용,OBGY
경구피임약 휴약기+생리 중 질내사정 임신가능성/사후피임약 복용을 해야할까요,OBGY
생리직후 임신가능성 추가질문,OBGY
생리직후 임신 가능성 추가질문,OBGY
생리직후 임신가능성,OBGY
6주차인데 애기집이 많이 작습니다,OBGY
생리유도주사 후 생리,OBGY
생리가 늦어요..,OBGY
생리 건너뜀,OBGY
아기집이 작아서 고민입니다....,OBGY
임신5주차인데요..,OBGY
산부인과 질문~ 내막증식증3단계,OBGY
자근근종은 수술해야되는건가요?,OBGY
방광염 걸려있는데 질내초음파 받아도 되나요?,OBGY
2주 후에 임신테스트를 하고. 임신 했다고 하면 어떻게 해야할까요,OBGY
생리불순이  원래 있습니다. 월경 양 적어짐,OBGY
자궁근종 색전술. 문의드려요,OBGY
경구피임약 생리 안함,OBGY
경구피임약 복용 중 휴약기인데 생리안함,OBGY
홍인표선생님 도와주세요..0 제 시간에 피임약 잘 복용했지만 지르텍이나 두통약을 가끔 먹어 걱정됩니다..,OBGY
알려주세요! 이부프로펜과 지르텍은 피임효과에 지장없나요?,OBGY
생리 끝난 다음날 임신 가능성 있나요?,OBGY
임테기 정확도,OBGY
임신가능성이 있을까요?,OBGY
생리 질문인데요 생리전 증후군인지?,OBGY
이부프로펜,AN
알려주세요 의느님 ㅠㅠ 이부프로펜,AN
여성질환 어떤 질염일 가능성이 높나요?,OBGY
생리 끝나고 일주일 후,OBGY
사타구니에 멍울이 생겼어요 혹시 성병인가요?ㅠㅠ,OBGY
50대 자궁내막증식증3단계 프로베라약먹고있고,OBGY
그냥 성기끼리 접촉만있었고 손가락삽입만있었습니다ㅠㅠ  임신여부,OBGY
생리통때 다리도 아플 수 있나요?,OBGY
생리 질문이요ㅠ생리통처럼 아프다가 ,OBGY
오줌에 정액이 같이 섞여나와 변기나 샤워기에 묻었을경우  임신가능성,OBGY
반복되는 생리불순,OBGY
경구피임약 휴약기 중 출혈,OBGY
추가적인 질문입니다.. 착상혈이 아니라고 생각해도 될까요..?,OBGY
안녕하세요 임신 가능성에 대해 질문드립니다,OBGY
경구피임약 복용중 생리 시작,OBGY
한줄로 나올수 있나요ㅠㅠ 임신인가요?,OBGY
관계 18일후 저녁에 임테기 한건데 비임신이죠?,OBGY
현미경적 소변검사 질문드립니다.,OBGY
임신가능성(질외사정),OBGY
가슴이 땡땡하면 임신인가요?,OBGY
관계 18일 후에 임테기 한거 한줄이면 믿어두되나요?,OBGY
팬티에 묻는 검정 덩어리..,OBGY
임신가능성좀 알려주세요 ㅠㅠ...,OBGY
경구피임약 복용 중 부정출혈이 심했습니다 .,OBGY
관계 18일후 임테기 한줄이면 비임신이죠?,OBGY
소변검사할때 질염인지 알수있나요,OBGY
자궁내막증식증3단계로 2주치 프로베라,OBGY
성기주변 여드름,OBGY
임신인가요 아닌가요? 18일 후에 저녁소변으로 임테기 한겁니다,OBGY
임신가능성이 높을까요?,OBGY
사후피임약 복용해야할까요?,OBGY
생리를 안해요... 임신일까요??? ,OBGY
클라미디아균 방광염인데,OBGY
혹시라도 들어간거라면 자궁에 알까면 어떠카져.....,OBGY
일반 생리 전 증후군일까요 아님 임신 극초기 증상일까요?? ㅠㅠ,OBGY
삽입자위 후에 피가 조금씩 나오기 시작했습니다.,OBGY
경구피임약 다시 질문드립니다!,OBGY
요도및 아랫배 통증,OBGY
자궁 경부암 검사,OBGY
임신일까요..?,OBGY
산부인과 hpv바이러스 고위험군이 나왔습니다.,OBGY
경구피임약.19일째에 잊은경우,OBGY
관계 중 출혈,OBGY
임신인지 궁금해요,OBGY
제가 거의 일년 넘게 생리를 안해요,OBGY
경구복용중에 다른약 복용,OBGY
음부치구쪽피부,OBGY
생리할 시기에 갈색냉만 나와요 추가질문 입니다!,OBGY
질문있는데요~ 자궁내막증식증3단계로 프리베라 약을먹고있는데,OBGY
경구피임약 19일째 약을 잊고 20일에 2일복용. 이후엔 어찌할까요?,OBGY
경구피임약 6개월차 복용 중인데 갑작스레 부정출혈이 나와요,OBGY
정액 임신 가능성,OBGY
경구피임약 복용 질문이요 추가질문입니다,OBGY
생리전증상인가요 임신 극초기인가요?,OBGY
생리전증후군일까요 임신극초기일까요?,OBGY
경구피임약 복용 질문이요,OBGY
경구피임약 복용 효과시기,OBGY
임플라논 질문,OBGY
질문있는데요~50대인데 자궁내막증식증 3단계이면 안좋은건가요?,OBGY
생리할 시기에 갈색냉만 나와요,OBGY
생리맞나요?,OBGY
케겔운동,OBGY
질문있는데요~ 어쩔때 생리가 아닌데 아랫배가 생리통처럼 아프고 ,OBGY
임신 가능 여부 ㅠㅠㅠ,OBGY
임신 가능성 ㅠㅠ,OBGY
원추제거술,OBGY
배란혈인가요?,OBGY
출산한지 백일 넘엇어요 그런데.. 관계를 해서 뒤쪽? 어딘가 좀 찢어졌다가 회복하는데 ,OBGY
임심가능성 있을까요?? 도와주세요..,OBGY
경구피임약 복용 관련 (급합니다 ㅠㅠ),OBGY
자궁적출관련 질문입니다!  2년뒤 인 지금 허리통증과 자궁통증이 있습니다,OBGY
질문 있는데요~ 자위한손으로 물건을만졌을때 ,OBGY
처음 피임약 복용이에요,OBGY
피임약 부정출혈,OBGY
초음파 난황관련,OBGY
생리통이 심해서 병원에 가서 약처방 받았는데 괜찮아 질까요?,OBGY
임신 가능성이 어느정도일까요 ?,OBGY
AFP 수치 문의,OBGY
질정이 녹아서 계속 나오는거 같아요,OBGY
임신 가능성 ㅠㅠㅠ,OBGY
소퇴성출혈 기간,OBGY
소변을 보고 닦았는데 피가나왔습니다,OBGY
관계후 불안해서 질문드립니다..  가임기여서 혹시나 콘돔이 찢어졌나 싶어서 ,OBGY
콘돔이 찢어졌어요,OBGY
생리 전 하얀 냉 질염인가요? (사진첨부),OBGY
사정 후 확인해보니 콘돔이 찢어져있었습니다,OBGY
생리전증상인가요? 임신 극초기인가요?,OBGY
사후피임약 복용 일주일 후 소퇴성출혈,OBGY
중절수술,OBGY
여자친구와 질외사정 임신이 될 까요??,OBGY
여자친구와 질외사정을 했어요 임신이 될 까요??,OBGY
여성 성기주변 몽우리,OBGY
임신확률 질문드립니다,OBGY
임신가능성 있을까요,OBGY
생리 갈색피,OBGY
생리통 심해 병원에 가서 처방받았는데 괜찮을까요??,OBGY
피임약 복용과 임신가능성 문의,OBGY
자궁내막증 관련 질의,OBGY
질전정유두종 조직검사질문이요,OBGY
자궁내막증식증 3단계는 자궁적출을 꼭 해야 좋은건가요?,OBGY
임신 가능성이 있나요? 제발 도와주세요ㅜ,OBGY
질전정유두종..?,OBGY
질전정유두종 조직검사(사진첨부),OBGY
오른쪽골반통증?,OBGY
피임약 복용 임신 가능성이 있을까요,OBGY
첫 피임약 복용 임신 가능성이 있을까요,OBGY
생리시작일 저녁 부터 피임약 복용 부정출혈,OBGY
(생리혈 사진포함되어있습니다ㅜㅜ) 생리가 맞을까요?,OBGY
임신가능성 궁금합니다!!!,OBGY
유사성행위 임신 가능성,OBGY
질전정유두종일까요?,OBGY
생리 한주기 기준이뭔가요?,OBGY
9개월동안?  자궁쪽에 상처연고 치료안했던게,OBGY
생리전 증상인가요? 임신 극 초기 증상일까요?,OBGY
폴리코사놀과 임신에 대해,OBGY
임신 여부와 임신 혈액검사,OBGY
사후피임약 임신가능성 문의드립니다,OBGY
자궁이 헐었다고 하는데,OBGY
비임신 맞나요?,OBGY
질 안 상처? 생리가 아닌 피가 2주 전부터 계속 조금씩 흘러 나와요 ..,OBGY
피임약 질문이요,OBGY
피임약 질문이요ㅠㅠㅠ,OBGY
스테로이드 부작용으로 부정출혈이 생겨 호르몬주사 맞았는데 괜찮나요?,OBGY
생리 초기 증상? 임신이아니고 질염이겠죠...?,OBGY
생리를 안하는데 자궁에 문제가 생긴걸까요..?,OBGY
선생님..답변 감사합니다^^ 부작용,OBGY
자궁경부영기,OBGY
자궁경부 제자리암 언제쯤 회복될까요?,OBGY
경구피임약 장기복용 후 중단,OBGY
생리전 중상인가요? 임신 극 초기 증상일까요?,OBGY
임신테스트 및 초음파 검사 후에도 임신 가능성이 우려됩니다,OBGY
47세 생리-재질문,OBGY
질염질문,OBGY
경구피임약 복용방법,OBGY
사후피임약 한달에 두번먹어도 효과 95%맞나요?,OBGY
가임기 질외사정 임신가능성,OBGY
질전정유두종? 라는 말도 있었는데 어떤가요 ㅠㅠ,OBGY
갈색냉 혹시 착상혈일까요...,OBGY
생리전 증후군인가요?임신 극 초기 증상일까요?,OBGY
생리전 증상인가요 임신 극 초기 증상일까요?,OBGY
얼리 임신테스터기 사용시기,OBGY
가임기 첫날 질외사정,OBGY
생리하는데 임신은 아니죵?,OBGY
임신 가능성 에 대해 질문 합니다.,OBGY
다낭성 난포,OBGY
혹시발생 원인중에 성관계가 포함될까요??,OBGY
이게 음핵인가요..?,OBGY
피임약 콘돔 임신가능성,OBGY
음모에 있는 물집이 가려워요,OBGY
생리중 관계 임신 가능성이 높나요 ?,OBGY
생리  생리통,OBGY
경구피임약 복용중 부정출혈 질문이요,OBGY
관계중 콘돔터짐 임신가능성,OBGY
자궁내막증식증,OBGY
항생제 주사 부작용,OBGY
야즈 피임약 복용법,OBGY
생리전인가요? 임신 극 초기 인가요?,OBGY
임신일까요?..,OBGY
소변 잠혈질문 드립니다,OBGY
질전성 유두종,OBGY
진주양구진이 여성에게도 나타나나요??,OBGY
소음순 안쪽 부분에 작은 돌기가 있어요,OBGY
생리를 늦추고싶은데  피임약,OBGY
배뇨지연 질문이 있어요.,OBGY
임신가능성 질문드립니다.,OBGY
임신 가능성 질문드립니다,OBGY
프로베라정 12일치를 처방받았는데 3일치를 잃어버렸어요,OBGY
생리후 임신,OBGY
생리전 증상인가요? 임신 극 초기인가요?,OBGY
육아 및 산후조리 관련 문의드립니다.,OBGY
생리주기 조절 관련해 질문 남깁니다,OBGY
관계 다음 날 소량의 출혈,OBGY
성기 헤르페스 2형 약,OBGY
헤르페스 2형 재발 치료,OBGY
자궁 적출,OBGY
관계 14~15일 후에도 착상혈이 나오나요?,OBGY
질문있는데 자궁증식증 3단계라고,OBGY
난소 기형종 수술 후 경구 피임약 복용,OBGY
곤지름? 질전정유두종?,OBGY
임신가능성 있을까요..?,OBGY
혹시 사후피임약 먹어야할까요..?,OBGY
감사합니다 선생님 하나만 더 여쭤봐도 될까요? 착상혈로 보이지는 않는지요??,OBGY
산부인과 질문이요  자궁내막 증식,OBGY
증상이없는 질염,OBGY
생리후관계,OBGY
질내사정,OBGY
질염인가요?,OBGY
산부인과 질문 자궁내막증식3기,OBGY
자궁증식증,OBGY
삽입 후 몇 번 움직이다가 사정 직전에 뺐는데 혹시 임신일까요..?,OBGY
착상후3주인가요?,OBGY
배란기 식욕,OBGY
자궁근종 개복수술 후 문의입니다.,OBGY
자궁내막 증식,OBGY
임신 맞나요?,OBGY
임신과주수,OBGY
임신 가능성 질문,OBGY
프로게스테론샷 이후에도 생리를 하지 않아요,OBGY
배꼽쪽 통증,OBGY
임신 사실 확인이요~~!!,OBGY
생리후 관계,OBGY
임테기 임신가능성,OBGY
포상기태의심 소파술 후 b hcg,OBGY
생리전증후군인가요? 임신 극 초기 인가요?,OBGY
사후 피임약 임신가능성,OBGY
생리 끝나고 관계,OBGY
질봉합술 실패로 힘든시간을 겪고 있습니다,OBGY
소변에서 피가섞여 나온 남편과 성관계,OBGY
자위하고배통증,OBGY
생리전 증후군일까요..? 임신 극 초기 인가요?,OBGY
임신 가능성은 많이 높은가요ㅠㅠㅠ ,OBGY
피임약을 실수로 하루 2정을 복용했어요,OBGY
생리 첫날 관계를 했는데ㅠㅠ 임신 가능성은 없는거죠??,OBGY
생리전 증후군인가요? 아니면 임신 극 초기인가요?,OBGY
성관계를 콘돔 없이 가졌습니다.. (고등학생이에요..),OBGY
착상통일까요:.? 임신 극 초기 증상?,OBGY
생리양이 줄었어요,OBGY
가임기 콘돔,OBGY
생리전증후군 질문,OBGY
경구피임약 연속복용,OBGY
점도가 있는 냉이 나와요 질염일까요,OBGY
자위할 때 아랫배를 엄청 세게 꾹꾹 누릅니다,OBGY
임신 극 초기 증상인가요?,OBGY
난소 악성,OBGY
임신가능성 높나요?,OBGY
가다실9가질문,OBGY
쿠퍼액임신가능성,OBGY
유레아 플라즈마 라이티쿰 파줌,OBGY
관계할때 깊게넣든 적게넣든 쿠퍼액 임신확률 같은가요?,OBGY
임신확률 알려주세요ㅠㅠ,OBGY
6개월 피임약 복용중. 질내사정 1일후 늦게 복용했어요,OBGY
시험관 전 chest pa,OBGY
생리 안해요,OBGY
자궁근종 수술 후 문의입니다,OBGY
생리를 안해여,OBGY
피임약 야즈 복용관련 질문입니다 피임효과 제대로 있을까요?,OBGY
생리 중 관계를 가졌는데요ㅠ,OBGY
여자 곤지름 질문입니다,OBGY
피임약과 함께 복용 가능한지 문의합니다!,OBGY
자위손씻을때 비누로손씻어야하나요,OBGY
생식기 음부에 뭐가 났어요,OBGY
질의 피부가 원래 이렇게 생겼나요?,OBGY
아직까지 생리를 안합니다ㅠㅠㅠ ,OBGY
생리인지 소퇴성출혈인지  임신 가능성 질문,OBGY
착상혈 생리,OBGY
착상혈 생리 구분,OBGY
제가 피임은 확실하게 했는데 걱정이 돼요,OBGY
요도  속 정액,OBGY
임신 가능성 높나요?,OBGY
생리 부정출혈,OBGY
가다실 스테로이드,OBGY
피임관련 문의드립니다.,OBGY
추가질문 그럼 어떤 질병인지 알 수있을까요?,OBGY
산부인과 질문그럼 질염이 아닌가요?  ,OBGY
질문이 있습니다. 혈뇨가 생기는 질병이 있을까요?,OBGY
임신 가능성 없죠..?,OBGY
파비시드라는 약이 생리와 관계있나요?,OBGY
답변해주세요ㅠㅠ 임신 가능성 아예 없죠?,OBGY
미삽입 임신 가능성ㅣ,OBGY
사후피임약 노레보원정,OBGY
사후피임약,OBGY
가임기 부정출혈,OBGY
섬유선종 질문,OBGY
그것도 임신 가능성이 높은가요,OBGY
사후피임약 복용 후 임신가능성,OBGY
PMS 질문이요,OBGY
경구피임약을 처음 먹었는데요.,OBGY
생리와  착상혈,OBGY
생리시간 생리를 안하고 소량의 냉과 선분홍 피가 나옵니다,OBGY
자궁이 크다고 하는데 그건 괜찮은건지?,OBGY
쿠퍼액으로도 임신가능성이 높나요?ㅠㅠ ,OBGY
그거로도 임신 가능성이 있나요?,OBGY
질염?성병?관련하여 문의(처방전복용도요),OBGY
지속적인 혈뇨,OBGY
생리중 성관계 자주하는데  자궁근종 질문,OBGY
사후피임약 복용 이틀 후 찢어진 콘돔 조각이 나왔습니다,OBGY
자궁근종 저도 유전이 될까요?ㅠ,OBGY
방광염 및 음핵불편,OBGY
유레아 파붐,OBGY
질내사정을 했어요 임신이 될까요? ,OBGY
2~3달째 생리를 안 하는데 2주째 피섞인 냉이 나와요,OBGY
질염관련질문입니다.,OBGY
사후피임약 복용 후 2일 뒤에 찢어진 콘돔 조각이 나왔어요,OBGY
처음이여서 불안해요 임신가능성 있나요?,OBGY
임신 가능성이 있을까요ㅠㅠ?,OBGY
피임약 복용중인데 생리를 안하네요.,OBGY
생리가 안해요,OBGY
생리와 임신,OBGY
피임약 복용중인데 휴약기에 생리를 안해요,OBGY
혹시 이걸로 임신가능성이잇나요?,OBGY
불안감과 생리,OBGY
std 칸디다,OBGY
임테기 판독,OBGY
골반염 검사,OBGY
청소년도 삼부인과 갈수 있나요?,OBGY
왼쪽유방 찌릿함,OBGY
성병 관련해서 상담받고싶습니다.,OBGY
궁금해요 골반염이라는것도 있던데 골반염의 원인은 뭐죠??,OBGY
골반염,OBGY
전날에 엘라원을 복용하고 관계를 또 가졌는데요,OBGY
임신 가능성에 대해서 여쭤봅니다.,OBGY
에이즈 발병 원인 궁금해요,OBGY
에이즈 발병 원인,OBGY
사후피임약과 소화제 그리고 감기약 복용하였습니다,OBGY
소파술 2일 후 소량출혈,OBGY
유방암 검사는 어느병원으로가야하나요??,OBGY
경구피임약 임신가능성관련,OBGY
사후피임약 관계 전날 복용,OBGY
아랫배 찌릿,OBGY
손가락 임신 사례?,OBGY
쿠퍼액 임신 확률,OBGY
다낭성증후군 의심,OBGY
피임약 복용중단 생리,OBGY
임신인가요?,OBGY
피임약과 감기약 복용시 피임효과,OBGY
사후피임약 복용 후 관계,OBGY
발기부전치료제 복용일자,URO
링거 맞은 후 혈관이상,CA
부정맥이나 저채온증 의심해봐야 하나요??,CA
심장약 복용중 약재,CA
전자혈압계로 혈압측정할때 처음 수축기에서 숫자 올라는 가는거에 대해서,CA
폐동맥이 크다는데요,CA
가끔 심장이 이상해요.. ㅠ,CA
혈관이 얇다는 의미!,CA
심장병 가능성은요?,CA
심정지환자 질문 드립니다.,CA
심전도검사? 싼 가격으로 알아보고 싶은데요,CA
그럼 부정맥 잡아내는것은?,CA
심초음파 검사,CA
급성심근경색(추정),CA
부정맥 딱히 증상이 있을 때라기보다는,CA
심전도 이상 나왔는데 뭐가 이상인건가요?ㅠ,CA
심장 발작 후 멀쩡한 경우도 있나요??,CA
카페인 심장에 직접적인 영향을 줄까요.??,CA
위험한걸까요 이형협심증이런건아닐까요,CA
이전질문+  이형협심증과 관련이있을까요 ,CA
목이살짝 조이는 느낌나서 경동맥을 재봤는데 쿵 1~2초정도 멈췄다가 다시 뛰더라구요,CA
심박동수가 낮습니다,CA
코로나 바이러스 심장,CA
20대 심장질환 가능성 있나요?,CA
심전도 결과 괜찮은가요?,CA
급성심근경색으로 약 복용,CA
숨 쉬기가 힘들어요,IP
심정지와 급성심근경색 구별법,CA
운동부하검사 결과 판독 부탁드립니다.,CA
서있을땐  심박수가 106 나오는게 앉자마자 바로 78 80으로 떨어질수가 있나요?,CA
선생님 심박수 쟀는데 57이 나왔습니다,CA
거미상 혈관종 인가요? 선생님 다시 한번 질문 드려요.,CA
숨을 깊게 마시거나 제체기 하면 막 심장이 빨리뛰는데,CA
운동 후 심박수 계속 빠르게 유지되는 이유가 뭔가요?,CA
심전도 심장초음파 결과지 판독부탁드려요,CA
가만히 누어있을때 복부 심장뛰듯이 살짯 움직이내요..,CA
경동맥동 내막비후 1.2mm 입니다.,NR
기외수축에 카페인,CA
커피먹어서 심장빨리뛸때,CA
실로스탄씨알정 약을7일끊고 시술을 받아야 한다는거조??,CA
실로스탄씨알정,CA
와파린 복용중에 까스활명수 마셔도 됩니까?,CA
어제 과음을 하고 인데놀 먹으려 하는데 괜찮나요??,CA
갑자기 한번씩 숨이 차는이유,IP
정액량 감소,CA
약 며칠 끊어보는게 좋을까요? 호흡불편증상입니다,CA
숨을 쉬어도 숨이 찹니다,CA
동맥 순환 문제 비아그라같은 약없이는 나을 가능성이 적은 건가요?,CA
혈관 상태 문제,CA
코다론이랑 같이 먹어도 괜찮은지 약 상호작용 질문드립니다.,CA
채혈 후 통증이 있는데 혈관염일까요,RHEU
재질문 동맥성 발기부전의 원인파악,URO
선생님 심박수가 140으로 1시간 뛰면 심정지가 오실수도 있다고 하셨는데 뛴다는게 심장이 뛴다라는 말씀이신가요?,CA
선생님 심박수는 하루 종일 재지 않습니다.,CA
선생님 하루 평균 심박수를 재는 기준이 어떻게 되나요?,CA
심장이 분당 140회로 1시간 이상 뛰시면 심정지가 오신다고 그러셨는데 무슨말씀이신가요?,CA
졸리면 피곤하고 그러면  왜 심박수가 낮아지는건가요?,CA
심박수가 1분에 140이 1시간동안 지속된다면 심정지 오나요?,CA
하루 평균심박수를 재는 기준이 어떻게 되나요?,CA
심장이 빨리 뛰는건가요?,CA
모세혈관이 상태가 안좋으면 심장이 답답할수있나요,CA
선생님판단 그냥 변이협심증 증상이 조금 더심해진정도 그정도로 보시는거같은데저는 아닌거같아서 ,CA
혈액응고검사 수치와 와파린 부작용,CA
심박수 질문,CA
추가질문있습니다. 선생님 sinus arrhythmia가 심한부분이 있다고하셨는데 무슨소리인가요?,CA
호흡곤란증상때문에 대학병원 호흡기내과에서 폐기능검사 오늘검사했는데요,IP
부정맥문의,CA
심전도 방실차단확인 부탁드립니다.2,CA
심전도 방실차단확인 부탁드립니다.,CA
심장 초음파,CA
심장 초음파 해석부탁드립니다.,CA
심전도가 이상해요 ㅜㅜ 응급실을 가야하나요? 답변입니다,CA
심전도가 이상해요 ㅜㅜ 응급실을 가야하나요?,CA
울혈성 심부전(좌심부전),CA
바나나 제가 변이형협심증인데 그럼 안먹는게 좋나요?,CA
헤르벤정 그냥 빈속에 먹어도되나요?,CA
기침하면 잠깐잠깐 호흡편해져요..,IP
알레기살은 천식약이 아닌가요?,ALL
저희 엄마의 숨소리가 이상해요.,IP
협심증약 헤르벤정 부작용에 호흡기관련 부작용도 적혀있는데요,CA
숨쉬기힘든 호흡증상,IP
추가 질문 하나만 드려보고자 합니다ㅠㅠ이 경우도 부정맥이나 심장관련 질환은 아니라고 봐도 될까요..? ,CA
변이형협심증 약복용중인데요  호흡곤란,CA
변이형협심증인데요 진단받은지 6달이내에 전신마취 수술해야한다면 받아도될까요?,CA
헤르벤정30 부작용인가요??,CA
 기외수축이 부정맥 발기부전?,CA
심전도 검사 결과 심근경색이라던지 심장병 의심을 안해도 괜찮겠죠?,CA
ACTH(부산피질자극호르몬)검사 심장에 영향있을수있나요,CA
같은부분 다른질문! 심장맥박수에 동위원소투여해도 별이상없나요?,CA
갑상선 동위원소피검사하는것같은데요,ENDO
누워서 책을 보다가 손목에 맥박이 눈으로보일정도로 심하게 뛰는게 보엿어요,CA
실시간으로 달아놓는 심전도기계는 24시간 홀터만큼 정확하지않죠??,CA
이형성협심증의심으로  입원해서 검사받는중인데요,CA
빈맥 이형성협심증 약 동시복용 불가능하나요?,CA
변이형협심증의심으로 약물처방중이였구요,CA
심장환자는전신마취 대신 다른마취?,CA
이사진 이거 수면마취인가요 전신마취인가요?,AN
심장이 멈췄다가 다시 뛰는 느낌,CA
심장 오른쪽이 크다고 하는데 심각한건가요?,CA
심장수술 위험도와 비심장수술위험도?  비심장수술을 하게될지도 모르는데,CA
재질문드립니다. 하지만 답변3개가 모두 다르더라구요. 수면시 심박수,CA
수면 심박수 질문,CA
잠잘때 수면시 심박수 질문드립니다.,CA
잘때 심박수 질문드립니다.,CA
수면중 심박수 질문드립니다 부탁드려요ㅠ,CA
수면 심박수,CA
심장건강 질문,CA
아세트아미노펜 부작용(가려움,DERM
변이형협심증 의심중으로 이소켓서방정40,CA
자다가 갑자기 심장이 빨리 뜀,CA
변이형협심증환자 등산해도되나요?,CA
24시간 홀터 기록이 아예 안됬다고하더라고요?,CA
에크모 2차병원에도 있나요?,IP
눕기만하면 심장박동??,CA
스텐트 조영술,CA
부정맥 증상일까요?,CA
심근경색 스텐트 시술 1개한 지 3개월정도 됐어요!,CA
급합니다 심장 부정맥.,CA
자궁내막증이나 자궁근종 등을 의심중인데  갑자기 협심증 증상이 와서..,CA
정맥류증상이 여러곳에서 나타납니다... 몇가지 더 여쭙고싶은게 있습니다.,CA
혈전은 어떻게발견가능한가요?,CA
변이형협심증 증상나타났다고 금방 안죽나요?ㅠㅠㅠㅠ,CA
협심증같아보이시나요?,CA
임플란트  문의합니다.,DENT
협심증,CA
심실기외수축 관련,CA
같은증상 같은병원 응급실,EMR
심실기외수축,CA
왼팔이 묵직하게 반복적으로 아픕니다,OS
선생님 가슴 쿵쿵 거리는게 자주 느껴져요,CA
부정맥이 어지러운이유는 뭔가요??,CA
운동하다 실신 했는데 병원 가봐야 하나요?,CA
심장내과 vs 흉부외과,CA
심장이 멈출것같은 느낌이에요..,CA
심근경색 6개월후 초음파검사,CA
심전도 검사시 긴장하면 결과가 이상하게 나오나요?,CA
코다론 약 상호작용 질문,CA
심박수가 낮은데 협심증일 수 있나요?,CA
숨 쉬는게 답답하고 심장이 빠르게 뛰는 느낌이 들어요,CA
빠른심장맥박과 며칠전부터 느껴지던 심장을 누르는느낌,CA
도플러 초음파,CA
심전도 문의드립니다.,CA
새벽 2~4시사이 심장박동,CA
오늘 동네내과에서 흉부 x-ray찍었는데요,IP
복부 대동맥류,CA
심혈관 조영술 검사했는데..손이 부었습니다. 가능한가요?,CA
심혈관조영술후 손이 조금 부었어요,CA
새벽에 심장박동 빨라짐,CA
2년전에 대동맥판막폐쇄술 수술을 받았는데 데파스정 복용되나요?,CA
새벽에 자주 깹니다,CA
사우나 심장,CA
새벽에 심작박동이 빨라 깹니다,CA
동맥채혈은 왜하는건가요?,CA
위험한 부정맥인가요?,CA
고혈압약 복용중 허브차 음용,CA
심전도 문의 드립니다.,CA
심실빈맥 관련하여 궁금합니다.선생님,CA
부정맥 관련해서 문의드립니다,CA
선생님께 부정맥 진단 받은 사람입니다.,CA
부정맥인가요? 갑자기 가슴이 쿵하더니 심장이 완전 불규칙 하게 뛰더라고여 ,CA
서맥 관련하여 질문드립니다.,CA
인데놀 단약해도 될까요?,PSY
뭘까요?  가슴이 쿵하더니 심장이 완전 불규칙 하게 뛰더라고여,CA
심장마비 걱정,CA
닥터쌤 심박수가94정도가나오구..다시하면 173정도가나와요,CA
선생님 심박수가 빨라졌다가 ,CA
경구피임약 복용하려고 하는데요,OBGY
